ID,MOVIE,YEAR,RATING,WATCHED,CINEMA
265195,Relatos salvajes,2014,3,2020-03-02,FALSE
207932,Inferno,2016,2,2020-03-05,FALSE
570670,The Invisible Man,2020,4,2020-03-09,TRUE
501170,Doctor Sleep,2019,4,2020-03-22,FALSE
619264,The Platform,2019,4,2020-03-28,FALSE
359724,Ford vs Ferrari,2019,4,2020-04-09,FALSE
492188,Marriage Story,2019,3,2020-04-11,FALSE
595,To Kill a Mockingbird,1962,3,2020-04-12,FALSE
105,Back To The Future,1985,4,2020-04-19,FALSE
446159,Bacurau,2019,4,2020-04-25,FALSE
331482,Little Women,2019,4,2020-05-01,FALSE
429617,Spider-Man: Far from Home,2019,5,2020-05-02,FALSE
324857,Spider-Man: Into the Spider-Verse,2018,5,2020-05-09,FALSE
530385,Midsommar,2019,4,2020-05-17,FALSE
